id,snapshot_time,game_id,home_team,away_team,commence_time,bookmaker,market,outcome,odds,point,created_at
51096,58:29.0,3a3b44134650ac62f5f358ccc4925b33,Washington Nationals,Cincinnati Reds,46:00.0,DraftKings,h2h,Washington Nationals,2.17,NULL,58:30.0
51097,58:29.0,3a3b44134650ac62f5f358ccc4925b33,Washington Nationals,Cincinnati Reds,46:00.0,DraftKings,totals,Over,1.99,9,58:30.0
51098,58:29.0,3a3b44134650ac62f5f358ccc4925b33,Washington Nationals,Cincinnati Reds,46:00.0,DraftKings,totals,Under,1.83,9,58:30.0
51079,58:29.0,4631fb2aef9f1e508cb1333938a645d9,Cleveland Guardians,Baltimore Orioles,41:00.0,DraftKings,h2h,Baltimore Orioles,2.22,NULL,58:30.0
51080,58:29.0,4631fb2aef9f1e508cb1333938a645d9,Cleveland Guardians,Baltimore Orioles,41:00.0,DraftKings,h2h,Cleveland Guardians,1.68,NULL,58:30.0
51081,58:29.0,4631fb2aef9f1e508cb1333938a645d9,Cleveland Guardians,Baltimore Orioles,41:00.0,DraftKings,totals,Over,1.92,8.5,58:30.0
51082,58:29.0,4631fb2aef9f1e508cb1333938a645d9,Cleveland Guardians,Baltimore Orioles,41:00.0,DraftKings,totals,Under,1.9,8.5,58:30.0
51083,58:29.0,e6afbabe221c3af3aeb6bf814c04840f,Pittsburgh Pirates,Detroit Tigers,41:00.0,DraftKings,h2h,Detroit Tigers,1.67,NULL,58:30.0
51084,58:29.0,e6afbabe221c3af3aeb6bf814c04840f,Pittsburgh Pirates,Detroit Tigers,41:00.0,DraftKings,h2h,Pittsburgh Pirates,2.23,NULL,58:30.0
51085,58:29.0,e6afbabe221c3af3aeb6bf814c04840f,Pittsburgh Pirates,Detroit Tigers,41:00.0,DraftKings,totals,Over,1.92,8,58:30.0
51086,58:29.0,e6afbabe221c3af3aeb6bf814c04840f,Pittsburgh Pirates,Detroit Tigers,41:00.0,DraftKings,totals,Under,1.9,8,58:30.0
51087,58:29.0,a98181034ad8e08f6a11269f46af9bd6,Miami Marlins,San Diego Padres,41:00.0,DraftKings,h2h,Miami Marlins,1.87,NULL,58:30.0
51088,58:29.0,a98181034ad8e08f6a11269f46af9bd6,Miami Marlins,San Diego Padres,41:00.0,DraftKings,h2h,San Diego Padres,1.95,NULL,58:30.0
51089,58:29.0,a98181034ad8e08f6a11269f46af9bd6,Miami Marlins,San Diego Padres,41:00.0,DraftKings,totals,Over,1.87,8,58:30.0
51090,58:29.0,a98181034ad8e08f6a11269f46af9bd6,Miami Marlins,San Diego Padres,41:00.0,DraftKings,totals,Under,1.95,8,58:30.0
